AssetCode,MonthID,Amount
wrenn28216,202410,463395.74
parbre2830076,202408,1043307.47
ves35205,202501,503625.04
garvbre75287,202501,731084.03
coralamst280223,202408,0.00
founHMC76039,202404,403871.62
corcg33896,202405,494655.34
galcbre33615,202412,554688.41
tow2885016,202412,40058.00
alngbre75063,202409,982356.67
galcbre33615,202401,556436.03
attfm75201,202409,400406.16
lints76021,202501,1406951.61
5thous75244,202406,535141.88
fosc76137,202404,593698.87
corasRH75002,202409,784302.38
5thous75244,202404,519572.96
lakr43026,202401,186304.47
maslcbre77407,202403,428660.94
copscbre77041,202409,540637.93
stonbcHL76039,202501,762226.48
corjp32822,202402,637620.89
parbre2830076,202402,986560.36
corsm83642,202403,527737.96
corr22209,202406,1110647.64
corww33578,202410,307658.46
hungl76021,202409,310083.09
corco34747,202409,725190.92
corlc75039,202408,684816.31
corco34747,202411,716888.61
ridvoef76116,202409,369427.30
corub33428,202412,1304391.94
lake43147,202411,288922.58
olean30329,202410,651722.24
barmlbre32703,202402,1120746.26
5thous75244,202408,527822.23
shend30324,202403,545885.95
villp2oef30080,202406,362809.07
stratpcr75034,202404,397636.64
corsk233177,202402,487074.27
corrn160654,202502,502406.10
corho33020,202410,779167.72
vilc77054,202402,456091.90
vishccbre75063,202408,761427.74
bowbbre233616,202404,1070188.12
cor2580534,202402,433313.53
ams75034,202409,601731.65
parbre2830076,202404,1009419.09
ech30030,202501,636028.91
corasRH75002,202501,760869.12
avpfccbre76137,202408,345262.47
cormidmia33137,202404,1091307.70
ves35205,202409,510987.34
hil30342,202502,501712.46
granr80920,202407,638987.66
becpbre75038,202406,644409.46
bracm78209,202405,460637.39
flatwhbre78245,202409,284325.45
corwi30004,202406,510795.76
benb43004,202403,402214.60
lexbre30004,202411,665230.98
corrn160654,202403,492447.34
garvbre75287,202409,748614.76
hampl33196,202401,562338.40
cortm83642,202407,575807.91
aurfrbre227614,202502,422770.80
barmlbre32703,202401,1091591.22
5thous75244,202409,536790.76
corwvill175204,202407,534507.45
dismvbre285209,202403,614655.13
cormilld155415,202405,550124.38
corp885345,202502,575507.12
kinco33186,202502,1067513.92
cors75035,202411,397223.45
corsf33619,202408,565011.34
sovpr75035,202409,563221.63
tow2885016,202410,35325.58
corsf33619,202406,585611.06
corjp32822,202410,595015.83
dompp30326,202501,483541.70
coronponce30030,202406,403046.24
vishccbre75063,202501,709558.41
attfm75201,202502,382626.00
broadwcHL77573,202404,498019.93
pasbc78738,202401,424063.49
presfbre278240,202409,586449.35
corbc27617,202411,425081.20
3131oef30033,202502,380091.26
rialbre75010,202406,480646.06
cormilld255415,202406,1553.92
granr80920,202409,655232.23
cords33442,202403,518769.34
corwe75229,202409,1040212.79
praircv75080,202412,844288.87
retbcbre33510,202403,611391.60
bat1b30339,202403,414818.42
corwi30004,202405,513552.67
esttaara80234,202408,866120.80
greho43016,202404,203651.35
on80920,202404,255805.34
artp75034,202401,550612.24
corprovitp76015,202410,772642.92
cors30350,202411,381334.74
rialbre75010,202403,485662.14
cormckinney75201,202405,758725.35
sixty76116,202402,343850.06
pinuhHL85050,202407,490344.62
coralamst180223,202409,434861.80
corsc85750,202501,258976.96
corga33782,202404,603936.23
sovbbre28262,202405,410510.14
cororoy75063,202405,782909.29
cornona32832,202501,762446.14
corww33578,202412,298295.16
avps30318,202404,148187.63
inkwg77084,202408,451619.26
corrn260654,202402,0.00
corwn37209,202412,759199.36
corhc33025,202406,506448.53
jeflbre230062,202405,551353.26
cords33442,202405,503541.37
pinuhHL85050,202404,501268.50
cosa33782,202406,608226.06
covccbre80231,202402,699577.57
venr77469,202407,417423.97
bat2b30339,202410,475547.71
balof80205,202408,623180.09
presahB75093,202406,587006.94
sixty76116,202408,342285.57
cors30350,202408,387849.41
sovbbre28262,202402,392646.11
hofbb76126,202405,348325.14
corho33020,202401,784119.71
vishccbre75063,202403,742153.30
ligw77064,202404,483528.28
granr80920,202501,658264.82
dowbe80226,202408,328983.11
arbsbre27713,202406,476053.86
corsc85750,202403,249979.71
lakgpbre280239,202410,817729.63
