AssetCode,MonthID,ActualAmount,BudgetAmount
corwi30004,202403,505096.06,517129.84
coraddass30350,202402,304331.01,326474.93
norh77433,202406,553444.44,574083.85
cosa33782,202406,608226.06,619625.75
inkwg77084,202410,449668.00,450126.37
corr78730,202501,707326.42,699851.42
maslcbre77407,202401,430920.89,429085.44
havr34747,202410,554236.06,591074.66
poinoef28217,202403,453318.80,465944.05
corjc30005,202403,786596.42,807916.39
cormd77004,202501,658274.36,718493.06
vizcbre77084,202406,440732.18,423986.98
corar78759,202405,533423.06,547411.62
cords33444,202404,690515.10,710789.70
copscbre77041,202412,521218.01,519662.80
cornd28210,202407,504270.83,545414.75
corsf33619,202403,574000.70,579082.68
corar85042,202405,342630.58,355625.93
corub30342,202401,280154.95,300410.07
presahB75093,202503,572198.55,569114.35
avps30318,202502,135100.28,133354.59
fosc76137,202402,596117.34,1191351.36
corrockrim80919,202401,160246.37,161186.50
coraddass30350,202408,297461.49,326703.88
aurfrbre227614,202404,409208.19,414685.24
jefc43004,202408,315022.86,319889.43
lantcB75013,202403,473198.38,481072.72
balof80205,202406,656588.57,678471.83
cornd28210,202401,525896.82,544584.74
jeflbre230062,202405,551353.26,547330.07
stonvrcbre75063,202403,407768.94,401031.56
galcbre33615,202407,534080.32,554378.12
presfbre278240,202403,573304.30,581733.97
corprovitp76015,202401,765016.37,769179.91
astpoef30096,202403,460477.98,449900.04
artp75034,202404,554943.12,562408.43
corsm85283,202501,682111.28,682111.28
founHMC76039,202503,383642.24,396487.94
corlc85718,202403,1133958.53,1061792.58
arrsbre285308,202412,628750.81,651829.15
uncbre228262,202503,442108.24,444498.66
peypa43026,202406,177410.54,182031.94
bracm78209,202404,456718.96,452097.70
corbawarba33764,202410,865356.93,0.00
corpc22202,202502,1172150.59,1267037.88
corwvill275204,202502,0.00,0.00
bowbnbre233616,202403,1311447.90,1308878.82
cormidmia33137,202503,1198808.62,1175937.07
gatplhmc33025,202403,640263.28,0.00
cors75035,202410,390684.87,1935524.83
corrn260654,202410,0.00,0.00
corhcoef34741,202503,467085.63,472633.21
tow2885016,202410,35325.58,39807.41
hofbb76126,202503,344143.79,358736.08
avpf30318,202402,187013.45,151897.00
arrsbre285308,202409,654301.75,654456.23
wesls80124,202405,775404.76,788723.68
villp4oef30080,202411,1001445.57,1083167.79
virbre30033,202407,771326.95,756867.65
pinuhHL85050,202501,474570.28,474570.28
stratpcr75034,202408,413661.24,421974.00
corse28203,202502,515988.56,576502.24
norsu43074,202405,360343.26,365875.61
villp1oef30080,202408,523973.94,539784.56
artp75034,202407,547591.15,569587.99
corf80020,202402,601946.62,607285.25
galcbre33615,202404,549669.70,553743.42
porpgs233409,202403,828442.66,806674.78
wesls80124,202408,792580.15,789314.92
virbre30033,202401,779576.12,765791.82
astpoef30096,202406,453331.48,454885.26
bracm78209,202407,443982.29,447071.29
chel8oef30096,202401,830459.59,830758.42
spc30092,202503,297853.18,317075.33
coronponce30030,202403,376949.43,421577.00
tow2885016,202407,37061.80,39736.18
parlcbre33615,202412,387911.45,394383.10
arlingapt22209,202410,364830.99,652751.23
peypa43026,202409,178454.43,186608.30
purlv75039,202402,563699.97,552510.52
arrsbre285308,202406,639443.10,654378.49
artp75034,202401,550612.24,558444.10
gatplhmc33025,202406,648508.77,0.00
cors75035,202407,361357.67,351704.28
cororTL27612,202402,326858.25,0.00
virbre30033,202404,784207.57,769225.09
villp4oef30080,202408,1045005.95,1074790.32
corjp32822,202503,599077.09,620044.81
norsu43074,202408,376840.26,374630.47
cormckinney75201,202503,638150.34,715412.51
sovbbre28262,202501,383867.61,376032.05
stratpcr75034,202405,396572.58,416211.41
berpnabre243054,202403,315349.79,296449.09
dompp30326,202408,549478.09,575685.17
wesls80124,202411,705356.71,793628.55
villp1oef30080,202411,508413.59,547064.59
corml75204,202411,652122.36,664994.69
sanbcbre85226,202410,402356.99,407799.46
porpgs133409,202501,908680.54,908680.54
corr22209,202502,1140102.68,1091326.88
mintui280246,202406,432042.03,423107.87
benb43004,202502,423378.80,403545.98
lints76021,202406,1404824.66,1374757.76
corsv75035,202404,486133.83,514424.80
astpoef30096,202409,464226.83,450413.39
poinoef28217,202410,444253.60,468914.46
sovpr75035,202401,581422.88,620874.34
astpoef30096,202412,445057.22,440060.59
covccbre80231,202501,681568.21,689242.12
cororTL27612,202411,327715.93,0.00
mintui280246,202409,411592.84,431042.09
corrockrim80919,202501,197883.58,197883.58
cosaoef233782,202404,398155.74,389155.97
corub30342,202501,270805.04,261976.53
corpp85306,202406,583810.91,581161.91
norsu43074,202411,373905.25,377722.28
corrn160654,202403,492447.34,488552.15
cosaoef233782,202410,384907.36,393222.87
cororTL27612,202405,324386.81,0.00
attfm75201,202409,400406.16,406452.57
presfbre278240,202409,586449.35,593225.77
porpgs233409,202406,843079.81,813423.04
sunri85704,202407,399648.55,400617.08
villp4oef30080,202405,1022860.21,1063224.19
galcbre33615,202410,552646.85,555369.61
corpn80917,202503,427756.44,447163.37
dompp30326,202411,499449.10,561550.05
corhiTL27519,202503,460216.15,467329.84
hamrbre27713,202501,359933.86,373147.93
corlc75039,202501,658035.25,658035.25
corga33782,202402,610942.80,599172.80
corrn260654,202404,0.00,0.00
corsv75035,202407,511153.54,517726.65
esttaara80234,202411,883406.52,883752.66
chh37013,202411,389846.59,0.00
corsv75035,202401,487555.70,514050.10
sanbcbre85226,202407,386324.83,403786.54
corcg33896,202502,585371.35,594338.51
lints76021,202403,1363009.17,1346680.95
bat2b30339,202411,480978.68,563533.42
chel8oef30096,202404,843141.61,845983.20
corn37209,202502,623263.92,601902.79
cororTL27612,202408,329398.85,0.00
attm30092,202502,419524.23,401340.91
balof80205,202503,579153.35,607647.56
corch80203,202502,381929.23,379445.30
parwa78216,202501,524779.40,524779.40
barmlbre32703,202412,1041265.88,1102455.19
corrn260654,202407,253.00,0.00
attfm75201,202412,383864.56,406948.08
presfbre278240,202406,586073.83,586909.11
corw30067,202503,700959.33,654859.96
cosaoef233782,202407,390206.10,389761.05
arbsbre27713,202412,460000.05,484533.69
villp4oef30080,202402,1047325.63,1041688.98
lakr43026,202501,183786.36,183786.36
cords33444,202501,699811.65,699811.65
corwi30004,202503,494345.75,490962.99
sunri85704,202404,383236.18,386050.83
porpgs233409,202409,832222.29,818744.51
maslcbre77407,202501,427215.24,427215.24
arlingapt22209,202401,108690.71,570736.15
cormc28262,202410,467539.43,567976.46
ech30030,202502,623054.19,646555.43
corlc75039,202402,695773.19,689070.06
lakr43026,202411,190394.93,196482.05
becpbre75038,202403,639077.96,652900.06
cororoy75063,202502,764212.22,757835.39
cors30350,202409,385153.46,388755.72
lakgpbre280239,202408,835281.45,788546.51
covbbbre33716,202409,722456.47,721244.91
attm30092,202412,412837.95,0.00
corasRH75002,202403,757882.24,792871.03
echl30092,202412,494115.06,523095.39
corprovitp76015,202407,784938.87,767884.66
citfoef80021,202406,450450.14,470041.61
arbsbre27713,202403,472314.38,480538.79
luxscr77584,202410,591758.39,589105.88
corub33428,202408,1309680.83,1401821.79
on80920,202401,258691.36,259790.32
casli85704,202404,233620.27,213282.85
CorcM27519,202503,296932.18,300420.58
cormilld255415,202503,0.00,0.00
vizcbre77084,202411,430214.39,418709.33
stonbcHL76039,202402,786100.54,765784.35
fairfccbre76137,202503,334086.17,354994.46
parbre2830076,202402,986560.36,945123.66
watbre278748,202407,482622.68,513924.87
attp77581,202401,202059.85,199919.92
corml75204,202405,643502.21,656952.58
corpc30342,202404,294185.18,306496.08
villp3oef30080,202402,689867.43,695262.36
sanbcbre85226,202404,402969.82,398185.37
purlv75039,202408,554922.00,566406.92
shend30324,202406,573632.68,616210.82
pasbc78738,202410,407915.15,475990.55
corhp85233,202404,660260.97,634254.74
bat2b30339,202408,505462.39,551794.74
sanbcbre85226,202401,391772.75,390890.26
dismvbre285209,202409,579313.86,578038.68
watbre278748,202404,507411.51,507067.14
bat2b30339,202405,519958.30,537900.87
corna43054,202411,320853.38,303605.70
cortlm32746,202402,465203.38,444353.04
corar78759,202407,525320.80,544543.83
brisoef75056,202503,466080.02,485971.57
sovc77494,202409,500273.76,513402.21
atra80021,202502,495503.32,492280.92
sovc77494,202403,501492.40,501007.78
lexbre30004,202406,664299.99,642813.23
aurfrbre227614,202406,421987.90,416498.52
corprovitp76015,202404,765351.58,775076.71
corml75204,202408,693577.67,664741.12
aubg30312,202503,295925.81,313296.92
casli85704,202407,220098.05,222406.80
arbsbre27713,202406,476053.86,487749.78
luxscr77584,202407,589068.66,584829.26
cors75035,202404,271135.53,294756.90
corpc30342,202401,284778.65,303603.03
cords33442,202401,517792.51,508815.86
parbre2830076,202405,1034074.49,1006584.40
casli85704,202401,213434.67,200715.61
corhp85233,202401,628289.86,638034.98
corub33428,202405,1327549.01,1356157.31
shend30324,202409,573831.81,612393.98
purlv75039,202405,552176.40,561215.01
cormd77004,202502,650063.72,722093.01
cormlc75204,202501,0.00,0.00
corhp85233,202407,651674.67,622768.18
pasbc78738,202407,411632.83,465387.96
cortm83642,202409,572041.14,578159.82
shend30324,202412,560208.69,609691.36
bat2b30339,202402,505939.47,505601.84
sunpo43074,202401,246730.69,244250.61
stonbcHL76039,202405,763899.79,771099.04
dismvbre285209,202406,622194.75,588513.15
esttaara80234,202402,795221.75,810184.44
broadwcHL77573,202501,500141.13,500141.13
lexbre30004,202409,676260.71,639336.66
stratpcr75034,202411,385708.63,422898.32
inkwg77084,202501,453441.20,453441.20
aurfrbre227614,202409,421282.92,420193.38
lexbre30004,202403,660564.02,645232.19
sovc77494,202406,497833.44,509456.03
vishccbre75063,202407,761213.86,787087.88
cords33442,202410,519140.81,511208.60
attp77581,202407,209218.90,200745.90
coraddass30350,202404,313242.82,327351.24
cords33442,202404,520579.01,504103.18
allllbre32714,202403,944429.84,941997.37
corasRH75002,202409,784302.38,798454.13
corbc27617,202502,436385.26,441637.91
venr77469,202501,415705.84,405390.77
sola27519,202503,389693.22,400406.43
corub33428,202402,1320064.56,1339004.02
esttaara80234,202408,866120.80,863663.33
chel8oef30096,202407,850886.14,867373.63
allllbre32714,202409,913122.84,946855.69
flatwhbre78245,202503,273672.47,274793.72
kinco33186,202406,990931.44,1008918.33
