AssetCode,osl_UnitNumber,unit_group
stonvr75063,3077,1x1
spc30092,041B,1x1
sovc77494,8109,2x2
coralamst180223,S315,1x1
alngbre75063,463009,1x1
arbs27713,1526,1x1
parwa78216,12105,1x1
purf85003,214,2x2
vishccbre75063,1813,1x1
So190M75080,3109,1x1
ves35205,H1505,1x1
vk77094,4312,1x1
coronponce30030,527,1x1
brook43068,7165SD,2x1.5
can30341,3245H,2x2
havr34747,16B-103,2x2
granr80920,336,1x1
lantcB75013,5101,2x2
sovb28262,2028,2x2
purlv75039,2015,2x2
ridv76116,119,1x1
tus30093,187018,2x1
tersm78748,0120,1x1
tersm78748,0731,2x2
berpnabre243054,5264SH,1x1
barml32703,108,2x1
hamr27713,A831,2x2
corontheriv83712,203,1x1
jamsbre30043,8108,3x2
purfm75226,2186,1x1
chel8oef30096,1617,2x1
presf78240,1606,2x2
towc77339,2001,2x1
corpc22202,02-0817,2x2
corcc75080,7210,1x1
corub30342,6104,1x1
presf78240,2114,2x2
stonbcHL76039,1228,1x1
sorpp27560,9210,2x2
cors30350,7025,1x1
cortv30106,822,2x2
fosc76137,11201,2x2
stonvr75063,2021,1x1
corlc85718,4-001,2x2
par830076,4409,2x2
som30084,1308,2x1
stovrc32218,103,1x1
tradw77064,10-1027,2x2
corwi30004,13008,2x2
aq32256,133,1x1
cosa33782,1418,1x1
laurbre76137,918,2x2
corub33428,40-106,2x2
sanb85226,1071,2x2
corrn160654,2010,2x2
tradw77064,2-223,1x1
lints76021,01112A,1x1
purvt78261,0428,1x1
vers32771,10-212,2x2
legpt77084,1013,2x2
arcp76177,03-3106,1x1
resal43110,3312,2x1.5
legfc32606,01-104,3x2
villp4oef30080,2213P,2x2
corb280226,C-114,2x2
covcv76132,1196,2x2
par830076,1219,2x2
adwg32821,2117,2x2
dompp30326,1350,1x1.5
ligw77064,627,2x1
harlh32707,07-202,2x2
arccr75070,2-2227,3x2
delc28212,6006-A,1x1
corsf33619,5-103,3x2
corwn37209,527,0x1
presro78728,5-0518,1x1
parbre2830076,2502,1x1
virbre30033,B,0x1
saxw75070,1011,1x1
corhi27519,0300-324,2x2
verp76177,1113,2x2
oaks28269,1037,2x2
sorpp27560,7307,1x1
towc77339,1515,2x1
corw30067,53F,1x1
exchnh30341,2307,2x1
covcc80231,208,2x2
corro77019,6310,1x1
corch80203,824,1x1
retbc33510,101B,1x1
sormpbre28117,2101,2x2
chel8oef30096,2526,1x1
gatplhmc33025,03-207,1x1
granr80920,1331,1x1
1500o30021,1420C,2x2
havr34747,6A-202,1x1
cortv30106,208S,2x2
corwe75229,11207,1x1
hunr30092,0603,2x2
jeflbre230062,1624,2x1
avpfc76137,435,1x1
saxw75070,817,2x2
belv75025,0726,2x2
corbc27701,533,0x1
hunr30092,2508,1x1
pinuh85050,3040,2x2
ligw77064,1037,2x2
steep30093,6005C,3x2
casnriet28216,8317-303,1x1
poroef30096,416,3x2
pinuhHL85050,1052,2x2
harlhy32707,08-308,2x2
remsbre243081,4993BR,2x2
attm30092,427,2x2
sarpmoef28105,708-36,1x1
lac30360,52D,1x1
covbb33716,8303,2x1
oveda32118,SO0219,1x1
rial75010,10207,1x1
cormd77004,1813,2x2
islcbre33615,075541,1x1
estspmbre278748,E-1534,1x1
belv75025,2815,2x2
par830076,1318,1x1
bowb33616,1301,1x1
corlo85704,06203,1x1
laurbre76137,523,1x1
purvt78261,1321,2x2
lakgp80239,525,1x1
alng75063,712059,2x2
cornd28210,176,1x1
ansl28210,1431,2x2
belv75025,1933,2x2
cors75035,1A - 323,2x2
dechighlands,324,1x1
poinoef28217,0833,1x1
avpfccbre76137,631,1x1
corlc85718,6-09102,2x2
flatwh78245,12202,2x2
unc28262,1526,3x2
jefc43004,1121J,1x1
uncbre228262,112,2x2
aq32256,S1011,2x1
corsc85750,19288,3x2
stratpcr75034,3120,2x2
harlhy32707,13-301,1x1
bowbn33616,1092,2x2
legpt77084,1035,2x2
legfc32606,04-205,3x2
estspmbre278748,E-1018,3x2
cors30350,8015,1x1
dismv85209,3108,2x2
asp78741,1221,2x2
presah75093,0617,1x1
bowbbre233616,1311,0x1
aurfrbre227614,1-205,2x2
arbs27713,2018,2x2
chh37013,1506,2x2
stonbcHL76039,2427,2x2
poin28217,0911,2x2
vk77094,3204,1x1
chel830096,2301,2x2
corro77019,1304,1x1
cormd77004,1902,2x2
sarpm28105,507-38,3x2
arbsbre27713,2125,2x2
chh37013,1720,2x2
presf78240,3206,2x2
So190M75080,6315,2x2
casnriet28216,8227-201,1x1
presro78728,3-0323,1x1
corlc75039,4015,2x2
So190M75080,4221,1x1
1500o30021,1612L,2x2
sanb85226,2104,1x1
unc28262,424,2x2
visll234711,20108,3x2
hersf30310,1127,1x1
casn28216,8301-202,1x1
corbc27701,876,0x1
corba33764,4-418,2x2
casn28216,8215-308,1x1
bouldp77536,616,1x1
teno30046,910,2x2
aurfr27614,7-208,2x2
barmlbre32703,104,1x1
corho33020,05301,2x2
liv33559,1505,1x1
sormpbre28117,1216,1x1
alngbre75063,693036,2x2
villp3oef30080,2129J,2x2
watec30062,702,2x2.5
olean30329,263,2x2
hunc28262,136M,2x2
bowbnbre233616,6050,1x1
casnriet28216,9506-404,1x1
fosc76137,8201,2x2
sanbcbre85226,1004,2x2
vir30033,B,1x1
shend30324,2113,1x1
corb37209,207,2x2
benb43004,411,2x1
flatwh78245,5204,1x1
steepn28212,414,1x1
saxw75070,1538,2x2
hampl33196,02-013,2x2
casnriet28216,8807-105,1x1
towcbre77339,2803,2x2
corpc22202,01-1418,1x1
ac20147,AT810203,2x2
cops77041,1627,1x1
corpc22202,01-0803,1x1
corgs27603,337,0x1
lexbre30004,24001,3x2
corar78759,542,1x1
corsv75035,2B - 116,2x2
towcbre77339,1506,2x1
clubc77095,2311,1x1
balof80205,1487,1x1
cosa233782,6319,1x1
villp3oef30080,2137I,1x1
covbb33716,2201,2x2
can30093,P0618,1x1
CorcM27519,1512,3x2
av27604,02-2440,2x2
arrsbre285308,1144,2x2
chh37013,0315,2x2
bat2b30339,311,1x1
sarpmoef28105,306-26,1x1
uncbre228262,1729,1x1
sovsc77388,7303,2x2
ac20147,RT882103,1x1
teno30046,116,1x1
corhc33025,2-307,3x2
sovc77494,1214,3x2
broadwc77573,01208,2x2
villp1oef30080,2007A,1x1
som30084,503,2x2
gatplhmc33025,04-305,1x1
corwp33401,7-106,2x2
lac30360,98D,3x2
dismvbre285209,1054,1x1
cororoy75063,3004,1x1
lakgpbre280239,336,1x1
garvbre75287,6205,1x1
presro78728,26-2635,2x2
ambm30096,1220,2x2.5
corci34787,10210,2x2
becpbre75038,2117,1x1
islcbre33615,195329,2x2
harv77345,255,1x1
legfc32606,05-105,2x2
can30341,3225G,1x1
rems43081,5465TSW,2x2.5
suit276039,5303,1x1
legpt77084,0937,1x1
Lagpa33196,0616,2x2
corgv80249,10-203,2x2
