,property,date,avg_rent_per_sqft,net_leased,rev_pasf,rev_pasf_rank,year_month,quarter
137,Cortland North Tucson,2024-05-19,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
138,Cortland North Tucson,2024-05-20,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
139,Cortland North Tucson,2024-05-21,1.39750597444275,0.8402777777777778,1.174293214635922,1.0,2024-05,Q2 2024
140,Cortland North Tucson,2024-05-22,1.3964013377863789,0.8402777777777778,1.1733650130010544,1.0,2024-05,Q2 2024
141,Cortland North Tucson,2024-05-23,1.3964013377863789,0.8472222222222222,1.1830622445134598,1.0,2024-05,Q2 2024
142,Cortland North Tucson,2024-05-24,1.3964013377863789,0.8472222222222222,1.1830622445134598,1.0,2024-05,Q2 2024
143,Cortland North Tucson,2024-05-25,1.3967320009345328,0.8472222222222222,1.1833423896806459,1.0,2024-05,Q2 2024
144,Cortland North Tucson,2024-05-26,1.3967320009345328,0.8541666666666666,1.1930419174649134,1.0,2024-05,Q2 2024
145,Cortland North Tucson,2024-05-27,1.3967320009345328,0.8541666666666666,1.1930419174649134,1.0,2024-05,Q2 2024
146,Cortland North Tucson,2024-05-28,1.3942109593843046,0.8541666666666666,1.1908885278074268,1.0,2024-05,Q2 2024
147,Cortland North Tucson,2024-05-29,1.398424619933369,0.8611111111111112,1.2041989782759568,1.0,2024-05,Q2 2024
148,Cortland North Tucson,2024-05-30,1.398424619933369,0.8680555555555556,1.2139102603588272,1.0,2024-05,Q2 2024
149,Cortland North Tucson,2024-05-31,1.398424619933369,0.8680555555555556,1.2139102603588272,1.0,2024-05,Q2 2024
150,Cortland North Tucson,2024-06-01,1.398424619933369,0.8680555555555556,1.2139102603588272,1.0,2024-06,Q2 2024
151,Cortland North Tucson,2024-06-02,1.398424619933369,0.8680555555555556,1.2139102603588272,1.0,2024-06,Q2 2024
152,Cortland North Tucson,2024-06-03,1.398424619933369,0.8680555555555556,1.2139102603588272,1.0,2024-06,Q2 2024
153,Cortland North Tucson,2024-06-04,1.3961761436580682,0.8680555555555556,1.2119584580365175,1.0,2024-06,Q2 2024
154,Cortland North Tucson,2024-06-05,1.3961761436580682,0.875,1.2216541257008098,1.0,2024-06,Q2 2024
155,Cortland North Tucson,2024-06-06,1.3961761436580682,0.875,1.2216541257008098,1.0,2024-06,Q2 2024
156,Cortland North Tucson,2024-06-07,1.3954015299806672,0.8611111111111112,1.2015957619277968,1.0,2024-06,Q2 2024
157,Cortland North Tucson,2024-06-08,1.3954015299806672,0.8680555555555556,1.2112860503304403,1.0,2024-06,Q2 2024
158,Cortland North Tucson,2024-06-09,1.3954015299806672,0.8680555555555556,1.2112860503304403,1.0,2024-06,Q2 2024
159,Cortland North Tucson,2024-06-10,1.3935689050361135,0.8611111111111112,1.2000176682255423,1.0,2024-06,Q2 2024
160,Cortland North Tucson,2024-06-11,1.396939755667755,0.8680555555555556,1.212621315683815,1.0,2024-06,Q2 2024
161,Cortland North Tucson,2024-06-12,1.3956347647991365,0.875,1.2211804191992444,1.0,2024-06,Q2 2024
162,Cortland North Tucson,2024-06-13,1.3956347647991365,0.8819444444444444,1.2308723272881272,1.0,2024-06,Q2 2024
163,Cortland North Tucson,2024-06-14,1.3956347647991365,0.8819444444444444,1.2308723272881272,1.0,2024-06,Q2 2024
164,Cortland North Tucson,2024-06-15,1.3956347647991365,0.875,1.2211804191992444,1.0,2024-06,Q2 2024
165,Cortland North Tucson,2024-06-16,1.3976253198494275,0.875,1.222922154868249,1.0,2024-06,Q2 2024
166,Cortland North Tucson,2024-06-17,1.3946886082712855,0.8819444444444444,1.2300378697948142,1.0,2024-06,Q2 2024
167,Cortland North Tucson,2024-06-18,1.3919104046190656,0.8819444444444444,1.2275876485182036,1.0,2024-06,Q2 2024
168,Cortland North Tucson,2024-06-19,1.3919104046190656,0.8888888888888888,1.2372536929947249,1.0,2024-06,Q2 2024
169,Cortland North Tucson,2024-06-20,1.3919104046190656,0.8888888888888888,1.2372536929947249,1.0,2024-06,Q2 2024
170,Cortland North Tucson,2024-06-21,1.3919104046190656,0.8888888888888888,1.2372536929947249,1.0,2024-06,Q2 2024
171,Cortland North Tucson,2024-06-22,1.391631309267358,0.8888888888888888,1.2370056082376515,1.0,2024-06,Q2 2024
172,Cortland North Tucson,2024-06-23,1.3966296921092018,0.8958333333333334,1.2511474325144933,1.0,2024-06,Q2 2024
173,Cortland North Tucson,2024-06-24,1.3966296921092018,0.9027777777777778,1.2608462498208073,1.0,2024-06,Q2 2024
174,Cortland North Tucson,2024-06-25,1.3966296921092018,0.9027777777777778,1.2608462498208073,1.0,2024-06,Q2 2024
175,Cortland North Tucson,2024-06-26,1.3966296921092018,0.9027777777777778,1.2608462498208073,1.0,2024-06,Q2 2024
176,Cortland North Tucson,2024-06-27,1.3983449658354599,0.9027777777777778,1.262394760823679,1.0,2024-06,Q2 2024
177,Cortland North Tucson,2024-06-28,1.39894358485402,0.9027777777777778,1.2629351807709903,1.0,2024-06,Q2 2024
178,Cortland North Tucson,2024-06-29,1.39894358485402,0.9097222222222222,1.272650066776921,1.0,2024-06,Q2 2024
179,Cortland North Tucson,2024-06-30,1.39894358485402,0.9097222222222222,1.272650066776921,1.0,2024-06,Q2 2024
180,Cortland North Tucson,2024-07-01,1.39894358485402,0.9097222222222222,1.272650066776921,1.0,2024-07,Q3 2024
181,Cortland North Tucson,2024-07-02,1.39894358485402,0.9027777777777778,1.2629351807709903,1.0,2024-07,Q3 2024
182,Cortland North Tucson,2024-07-03,1.39894358485402,0.9027777777777778,1.2629351807709903,1.0,2024-07,Q3 2024
183,Cortland North Tucson,2024-07-04,1.39894358485402,0.9027777777777778,1.2629351807709903,1.0,2024-07,Q3 2024
184,Cortland North Tucson,2024-07-05,1.39894358485402,0.8958333333333334,1.2532202947650595,1.0,2024-07,Q3 2024
185,Cortland North Tucson,2024-07-06,1.39894358485402,0.8958333333333334,1.2532202947650595,1.0,2024-07,Q3 2024
186,Cortland North Tucson,2024-07-07,1.39894358485402,0.8958333333333334,1.2532202947650595,1.0,2024-07,Q3 2024
187,Cortland North Tucson,2024-07-08,1.39894358485402,0.8958333333333334,1.2532202947650595,1.0,2024-07,Q3 2024
188,Cortland North Tucson,2024-07-09,1.39894358485402,0.8958333333333334,1.2532202947650595,1.0,2024-07,Q3 2024
189,Cortland North Tucson,2024-07-10,1.3995589484605113,0.8888888888888888,1.2440523986315655,1.0,2024-07,Q3 2024
190,Cortland North Tucson,2024-07-11,1.3995589484605113,0.8958333333333334,1.2537715579958748,1.0,2024-07,Q3 2024
191,Cortland North Tucson,2024-07-12,1.3968568685726526,0.8958333333333334,1.2513509447630013,1.0,2024-07,Q3 2024
192,Cortland North Tucson,2024-07-13,1.3968568685726526,0.9027777777777778,1.2610513396836447,1.0,2024-07,Q3 2024
193,Cortland North Tucson,2024-07-14,1.3968568685726526,0.9027777777777778,1.2610513396836447,1.0,2024-07,Q3 2024
194,Cortland North Tucson,2024-07-15,1.3997769807933729,0.9027777777777778,1.2636875521051283,1.0,2024-07,Q3 2024
195,Cortland North Tucson,2024-07-16,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
196,Cortland North Tucson,2024-07-17,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
197,Cortland North Tucson,2024-07-18,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
198,Cortland North Tucson,2024-07-19,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
199,Cortland North Tucson,2024-07-20,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
200,Cortland North Tucson,2024-07-21,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
201,Cortland North Tucson,2024-07-22,1.3997769807933729,0.9097222222222222,1.27340822558286,1.0,2024-07,Q3 2024
202,Cortland North Tucson,2024-07-23,1.3997769807933729,0.9027777777777778,1.2636875521051283,1.0,2024-07,Q3 2024
203,Cortland North Tucson,2024-07-24,1.3997769807933729,0.9027777777777778,1.2636875521051283,1.0,2024-07,Q3 2024
